decade,track,artist(s),race/ethnicity,gender,collab?
2010s,Suit & Tie,Justin Timberlake Featuring JAY Z,mixed,male,TRUE
2010s,Don't Go Breaking My Heart,Backstreet Boys,white,male,FALSE
2010s,Some Nights,fun.,white,male,FALSE
2010s,I Like The Sound Of That,Rascal Flatts,white,male,FALSE
2010s,Dear Future Husband,Meghan Trainor,white,female,FALSE
2010s,Problem,Ariana Grande Featuring Iggy Azalea,white,female,TRUE
2010s,Impossible,Shontelle,mixed,female,FALSE
2010s,Bad At Love,Halsey,white,non-binary,FALSE
2010s,Hey Daddy (Daddy's Home),Usher Featuring Plies,black,male,TRUE
2010s,I Got You,Bebe Rexha,white,female,FALSE
2010s,Drunk On You,Luke Bryan,white,male,FALSE
2010s,Changes,XXXTENTACION,black,male,FALSE
2010s,Beautiful Crazy,Luke Combs,white,male,FALSE
2010s,Praise The Lord (Da Shine),A$AP Rocky Featuring Skepta,mixed,male,TRUE
2010s,Fast,Luke Bryan,white,male,FALSE
2010s,Party Monster,The Weeknd,black,male,FALSE
2010s,I Don't Care,Ed Sheeran & Justin Bieber,white,male,TRUE
2010s,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,mixed,male,TRUE
2010s,Let It Rain,David Nail Featuring Sarah Buxton,white,mixed,TRUE
2010s,You Was Right,Lil Uzi Vert,black,non-binary,FALSE
2010s,Trumpets,Jason Derulo,black,male,FALSE
2010s,Hustle Hard,Ace Hood,black,male,FALSE
2010s,Remind Me,Brad Paisley Duet With Carrie Underwood,white,mixed,TRUE
2010s,Beautiful Now,Zedd Featuring Jon Bellion,white,male,TRUE
2010s,2 Reasons,Trey Songz Featuring T.I.,black,male,TRUE
2010s,Goodbyes,Post Malone Featuring Young Thug,mixed,male,TRUE
2010s,Better,Khalid,black,male,FALSE
2010s,Shake Senora,Pitbull Featuring T-Pain & Sean Paul,mixed,male,TRUE
2010s,Better With The Lights Off,New Boyz Feat. Chris Brown,black,male,TRUE
2010s,The Bones,Maren Morris,white,female,FALSE
2000s,Poker Face,Lady Gaga,white,female,FALSE
2000s,Jump Then Fall,Taylor Swift,white,female,FALSE
2000s,I'm On A Boat,The Lonely Island Featuring T-Pain,mixed,male,TRUE
2000s,Desert Rose,Sting Featuring Cheb Mami,mixed,male,TRUE
2000s,Until The End Of Time,Justin Timberlake Duet With Beyonce,mixed,mixed,TRUE
2000s,That's That,Snoop Dogg Featuring R. Kelly,black,male,TRUE
2000s,Sorry 2004,Ruben Studdard,black,male,FALSE
2000s,Gives You Hell,The All-American Rejects,white,male,FALSE
2000s,Southside,Lloyd Featuring Ashanti,mixed,mixed,TRUE
2000s,Say Hey (I Love You),Michael Franti & Spearhead Featuring Cherine Anderson,mixed,mixed,TRUE
2000s,Hood Figga,Gorilla Zoe,black,male,FALSE
2000s,I Want You,Janet Jackson,black,female,FALSE
2000s,Going On,Gnarls Barkley,black,male,FALSE
2000s,I Just Wanna Love U (Give It 2 Me),JAY-Z,black,male,FALSE
2000s,One More Day,Diamond Rio,white,male,FALSE
2000s,Get It Shawty,Lloyd,mixed,male,FALSE
2000s,Like A Stone,Audioslave,mixed,male,FALSE
2000s,I Don't Wanna Know,Mario Winans Featuring Enya & P. Diddy,mixed,mixed,TRUE
2000s,When I'm Gone,3 Doors Down,white,male,FALSE
2000s,Family Portrait,P!nk,white,female,FALSE
2000s,You Should've Told Me,Kelly Price,black,female,FALSE
2000s,You Sang To Me,Marc Anthony,hispanic or latino,male,FALSE
2000s,Incomplete,Backstreet Boys,mixed,male,FALSE
2000s,Lose Control,Missy Elliott Featuring Ciara & Fat Man Scoop,black,mixed,TRUE
2000s,A Little Less Conversation,Elvis Presley vs JXL,white,male,TRUE
2000s,Poppin' My Collar,Three 6 Mafia,black,male,FALSE
2000s,Drift Away,Uncle Kracker Featuring Dobie Gray,mixed,male,TRUE
2000s,Wadsyaname,Nelly,black,male,FALSE
2000s,Tell Me Baby,Red Hot Chili Peppers,mixed,male,FALSE
2000s,The Space Between,Dave Matthews Band,mixed,male,FALSE
1990s,How Much Is Enough,The Fixx,white,male,FALSE
1990s,When A Woman's Fed Up,R. Kelly,black,male,FALSE
1990s,Who Needs Pictures,Brad Paisley,white,male,FALSE
1990s,Already Missing You,"Gerald Levert & Eddie Levert, Sr.",black,male,TRUE
1990s,Do I Have To Say The Words?,Bryan Adams,white,male,FALSE
1990s,All Night Long,Faith Evans Featuring Puff Daddy,mixed,mixed,TRUE
1990s,Flex,Mad Cobra,black,male,FALSE
